X,Z
-83.94436851342688,-374.09811134021044
-83.35545597672291,-374.7860970188757
-82.96916000684156,-375.6340329442982
-82.5866077226081,-376.47602328632075
-81.80975824615248,-376.98830984163317
-81.51301405858506,-377.86128431270345
-80.84876738055904,-378.54195809193055
-80.86776639366036,-379.5100637340286
-80.166008492572,-380.10786689663263
-79.49150866202518,-380.78445279864013
-79.0049132364102,-381.5635042641132
-78.353269756391,-382.2976940501191
-77.82241852114413,-383.05866138209643
-77.10614337282291,-383.62568155739837
-76.44015844845582,-384.32082347038994
-75.92879554257561,-385.10084309188755
-75.22512816653793,-385.7165863395817
-74.59490953351485,-386.45058105641823
-73.8912628814455,-387.1132212881964
-72.9774685821593,-387.5187332452904
-72.47747893094807,-388.2868856867483
-72.01334607940029,-389.08901339429485
-71.01384425083143,-389.0662650586436
-70.22762307417781,-389.6273794282773
-69.68723694176549,-390.41276460123237
-68.69985766646249,-390.5153687976632
-67.9884803250446,-391.1007984272492
-67.05211360139538,-391.4103596543506
-66.52108851106472,-392.17967552597827
-65.91882012599152,-392.8991053186605
-64.92821743834408,-393.02629901579604
-64.28808489607582,-393.6924223372973
-63.60429546647566,-394.33296682346344
-62.62237133355142,-394.46522057023327
-61.63447989591582,-394.3287310314522
-60.82310362664017,-394.86248321170496
-60.110586600728965,-395.46646593114707
-59.40483103725277,-396.1006656417066
-58.72134073318732,-396.74298217890316
-57.94434133362251,-397.27022753218927
-57.25624625002303,-397.9076469034781
-56.51618408716941,-398.48674611467504
-55.83830923135996,-399.1382399045485
-55.18791715562592,-399.7714678613606
-54.480209320547964,-400.3954703244718
-53.754651975427215,-400.9753895514884
